ID#info,Name#info,System#multi,FunctionalDescription#info,Component Type#multi,Function#multi,Maturity/status,Steward-Organization,References-Links#link,References-Text#info,Interfaces#multi,InterchangeFormats#multi,InformationModels#multi,Implementation#multi,#name,#img,#href
ci:00001,CINERGI metadata loader,CINERGI,Component for mapping/tranforming from raw harvested resource descriptions to standardized 'federation' scheme in a staging database,component,metadata acquisition,in development,CINERGI Project,,,http,"JSON, ",ISO19115 output; input -- custom adapter for different sources,"python, java…",CINERGI metadata loader,catalog.png,
ci:00002,Data Cataloger,Ocean observatory initiative (OOI),not clear if this is in the current (post 2014) architecture,component,metadata acquisition,,,,,,,,planned?,Data Cataloger,catalog.png,
ci:00003,Water OneFlow harvester,Hydrology information System (HIS),harvests WaterOneFlow self descriptions to create data catalog entry for offered sites and time series,component,metadata acquisition,,"HIS, Utah State",,,Water OneFlow,,,,Water OneFlow harvester,catalog.png,
ci:00004,Best Practices Register,GEOSS,,register,discovery,operational,GEOSS,,"OGC AIP-7 Architecture report, figure 4",,,,,Best Practices Register,catalog.png,
ci:00005,Components Register,GEOSS,list of components registered into GEOSS,register,discovery,operational,GEOSS,,"OGC AIP-7 Architecture report, figure 4",,,,,Components Register,catalog.png,
ci:00006,Services Register,GEOSS,list of services registered into GEOSS,register,discovery,,GEOSS,,"OGC AIP-7 Architecture report, figure 4",,,,,Services Register,catalog.png,
ci:00007,Special Arrangements Register,GEOSS,List of information exchange arrangements with GEOSS,register,discovery,,GEOSS,,"OGC AIP-7 Architecture report, figure 4",,,,,Special Arrangements Register,catalog.png,
ci:00008,Standards Register - GEOSS,GEOSS,list of standards used in GEOSS,register,discovery,,GEOSS,,"OGC AIP-7 Architecture report, figure 4",,,,,Standards Register - GEOSS,catalog.png,
ci:00009,user requirements register,GEOSS,,register,discovery,,GEOSS,,OGC AIP-7 Architecture report,,,,,user requirements register,catalog.png,
ci:00010,CKAN,,,server application,discovery,operational,,,,HTTP API,,,Java,CKAN,catalog.png,
ci:00011,ESRI Geoportal,,Catalog and metadata management component,server application,discovery,operational,ESRI,,,"CSW, OpenSearch, ESRI REST",,,"Java, Lucene, PostGIS",ESRI Geoportal,catalog.png,
ci:00012,IDN Catalog Service,International Directory Network (IDN),"OGC CSW 2.0.2 for data registered in IDN. Server is password protected, requires account.",server application,discovery,operational,GCMD CEOS NASA,http://idn.ceos.org/docs/CSWaccess.pdf,,csw 2.0.2,XML,CSW:record,,IDN Catalog Service,catalog.png,http://idn.ceos.org/docs/CSWaccess.pdf
ci:00013,Geonetwork Opensource,,,server application,metadata managment,,,,,,,,,Geonetwork Opensource,catalog.png,
ci:00014,Antarctic Master Directory (AMD),International Directory Network (IDN),Global Change Master Directory portal for Antarctic data,web site,discovery,operational,NASA GCMD CEOS,http://www.usap-data.org/exe/mapserv?map=/public/mgg/web/www.usap-data.org/htdocs/services/ogc.map&service=wfs&version=1.0.0&request=getcapabilities,,WFS,XML,,,Antarctic Master Directory (AMD),Collection_catalog_portal_webpage.png,http://www.usap-data.org/exe/mapserv?map=/public/mgg/web/www.usap-data.org/htdocs/services/ogc.map&service=wfs&version=1.0.0&request=getcapabilities
ci:00015,Coordinated Enhanced Observing Period (CEOP),International Directory Network (IDN),Portal for Global Change Master Directory,web site,discovery,operational,NASA CEOS,http://gcmd.gsfc.nasa.gov/KeywordSearch/Home.do?Portal=ceop,http://idn.ceos.org/portals/Home.do?Portal=amd&MetadataType=0; WFS to search directory:,,,,,Coordinated Enhanced Observing Period (CEOP),Collection_catalog_portal_webpage.png,http://gcmd.gsfc.nasa.gov/KeywordSearch/Home.do?Portal=ceop
ci:00016,European Space Agency portal,International Directory Network (IDN),,web site,discovery,operational,European Space Agency,http://idn.ceos.org/portals/Home.do?Portal=idn_esa,,,,,,European Space Agency portal,Collection_catalog_portal_webpage.png,http://idn.ceos.org/portals/Home.do?Portal=idn_esa
ci:00017,GCMD/ISN System software,Global Change Master Directory (GCMD),Software used to implement the GCMD search web site and virtual portals (NOTE-- this is SMR's interpretation of the sketchy stuff describing the software). Software doesn't seem to be open source,web site,discovery,operational v9.9.3 current,NASA,http://gcmd.gsfc.nasa.gov/add/aboutportals.html,,opensearch,atom,DIF,,GCMD/ISN System software,Collection_catalog_portal_webpage.png,http://gcmd.gsfc.nasa.gov/add/aboutportals.html
ci:00018,HYDRO,Global Hydrology Resource Center (GHRC),Search for hydrology data at GHRC,web site,discovery,operational,"University of Alabama Huntsville, NASA",http://ghrc.nsstc.nasa.gov/hydro/,,web page,,,,HYDRO,Collection_catalog_portal_webpage.png,http://ghrc.nsstc.nasa.gov/hydro/
ci:00019,ResearchGate,World Wide Web (WWW),,web site,discovery,,,,,,,,,ResearchGate,Collection_catalog_portal_webpage.png,
ci:00020,Reverb,EOSDIS,"metadata and service discovery tool. Login & Logout,  Create New Account, Reset Password, Recover Username, Update Account Information, Filter Datasets By Keyword Searching, Add items to Shopping Cart, create and Submit Order, Submit User Feedback, Save Query as Bookmark, View ""More Info"" for Datasets & Granules,  View Data Quality Summaries during Search & Results, View Browse image thumbnails for Datasets & Granules, View full dataset or granule metadata, View granule result extents on a spatial map",web site,discovery,operational,NASA,http://www.echo.nasa.gov/reverb/about_reverb.htm; http://reverb.echo.nasa.gov/reverb,,,,,,Reverb,Collection_catalog_portal_webpage.png,http://www.echo.nasa.gov/reverb/about_reverb.htm; http://reverb.echo.nasa.gov/reverb
ci:00021,docBuilder Tool,Global Change Information System,"NASA's Global Change Master Directory (GCMD) web-based docBUILDER authoring tool provide the capability to create and modify metadata descriptions for GCMD metadata records include data set descriptions, service descriptions and ancillary information (Data Centers, Projects, Instruments, Platforms). The authoring tool is widely used among NASA's Distributed Active Archive Centers (DAACs).  Required EOSDIS user account to use",web site,metadata acquisition,,"EOSDIS, GCMD, NASA",http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&KeywordPath=%5BFreetext%3D%27docbuilder%27%5D%7CRefine+By+ServiceParameters%7CMETADATA+HANDLING%7CAUTHORING+TOOLS&EntryId=GCMD_docBUILDER&MetadataView=Full&MetadataType=1&lbnode=mdlb3#maincontent,,,,,,docBuilder Tool,Collection_catalog_portal_webpage.png,http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&KeywordPath=%5BFreetext%3D%27docbuilder%27%5D%7CRefine+By+ServiceParameters%7CMETADATA+HANDLING%7CAUTHORING+TOOLS&EntryId=GCMD_docBUILDER&MetadataView=Full&MetadataType=1&lbnode=mdlb3#maincontent
ci:00022,Climate Data Guide,,"Search and access 170 data sets covering the Atmosphere, Ocean, Land and more. Explore climate indices, reanalyses and satellite data and understand their application to climate model metrics. This is the only data portal that combines data discovery, metadata, figures and world-class expertise on the strengths, limitations and applications of climate data. Discover it now.",catalog,discovery,operational,,https://climatedataguide.ucar.edu/,,web page,,,,Climate Data Guide,catalog.png,https://climatedataguide.ucar.edu/
ci:00023,community catalog,GEOSS,Collection of community-organized information descriptions (metadata) exposed through standard catalog service interfaces,catalog,discovery,conceputal,GEOSS,,OGC AIP-7 Architecture report,"CSW, ISO 23950",,,,community catalog,catalog.png,
ci:00024,Data catalog,Ocean observatory initiative (OOI),not clear if this is in the current (post 2014) architecture,catalog,discovery,,,,,,,,planned?,Data catalog,catalog.png,
ci:00025,Kentucky Geoportal,World Wide Web (WWW),Metadata catalog with a bunch of geology resources,catalog,discovery,operational,state of Kentucky,http://kygisserver.ky.gov/geoportal/catalog/main/home.page,,,,,,Kentucky Geoportal,catalog.png,http://kygisserver.ky.gov/geoportal/catalog/main/home.page
ci:00026,OneGeology Catalog,OneGeology,Geonetwork openSource CSW catalog instance providing interface to search OneGeology services for geologic map data,catalog,discovery,operational,OneGeology consortium,http://onegeology-catalog.brgm.fr/geonetwork/srv/csw?SERVICE=CSW&REQUEST=GetCapabilities&version=2.0.2,,CSW,ISO19139,ISO19115,GeoNetwork OpenSource,OneGeology Catalog,catalog.png,http://onegeology-catalog.brgm.fr/geonetwork/srv/csw?SERVICE=CSW&REQUEST=GetCapabilities&version=2.0.2
ci:00027,USGS Energy Data Finder,World Wide Web (WWW),ESRI geoportal instance for searching the resources maintained by the USGS Energy program,catalog,discovery,operational,USGS,http://certmapper.cr.usgs.gov/geoportal/catalog/main/home.page,,,,,,USGS Energy Data Finder,catalog.png,http://certmapper.cr.usgs.gov/geoportal/catalog/main/home.page
ci:00028,electronic geological management system (EGEMS),,"a database program for geological collections; incorporate existing data and add much more, including data for research materials which could not have easily been done using their previous system.",application,data management,,,,Sarah Timm Master's thesis,,,,,electronic geological management system (EGEMS),collaboration_tools_repository.png,
ci:00029,GraphDb,,Triple store,application,data management,,OntoText,http://www.ontotext.com/,,,,,,GraphDb,collaboration_tools_repository.png,http://www.ontotext.com/
ci:00030,Ferret,,"Ferret is an interactive computer visualization and analysis environment designed to meet the needs of oceanographers and meteorologists analyzing large and complex gridded data sets. It runs on most Unix systems, and on Windows XP/NT/9x using X windows for display. It can transparently access extensive remote Internet data sources using OPeNDAP (formerly known as DODS)",application,data presentation,operational,NOAA/OAR/PMEL Pacific Marine Environmental Laboratory,http://ferret.pmel.noaa.gov/Ferret/,,OpenDAP,,,,Ferret,collaboration_tools_repository.png,http://ferret.pmel.noaa.gov/Ferret/
ci:00031,DataBib,World Wide Web (WWW),"Databib is a tool for helping people identify and locate online repositories of research data. Users and bibliographers create and curate records that describe data repositories that users can search.
Databib attempts to address these needs: --What repositories are appropriate for a researcher to submit his or her data to?
-- How do users find appropriate data repositories and discover datasets that meet their needs?
-- How can librarians help patrons locate and integrate data into their research or learning?
for the research community, including: data users, data producers, publishers and professional societies, librarians, research funding agencies",catalog,data repository management,operational,Purdue University Libraries,http://databib.org/about.php,,web site,,,,DataBib,collaboration_tools_repository.png,http://databib.org/about.php
ci:00032,Components required to exchange and disseminate observational data and information,GEOSS,"Top level abstract component. data management, access to data, and archiving of data and other resources.",component,data management,conceptual,GEOSS,OGC AIP-7 Architecture report,,,,,,Components required to exchange and disseminate observational data and information,collaboration_tools_repository.png,OGC AIP-7 Architecture report
ci:00033,Data repository,Ocean observatory initiative (OOI),,component,repository,,,,,,,,planned?,Data repository,collaboration_tools_repository.png,
ci:00034,Docucomp,NGDC,"Docucomp is a web application for managing XML components as part of an Enterprise Documentation Architecture. A component is a snippet of XML describing a specific piece of metadata content. They are stored in a database and managed with REST web services. The REST services support insert, search, update and delete operations. ",component,resource access,,,,,,,,,Docucomp,collaboration_tools_repository.png,
ci:00035,Chronopolis ,,"Spanning academic institutions and disciplines, the Chronopolis digital preservation network provides services for the long-term preservation and curation of America's digital holdings. Because of the ephemeral nature of digital information, it is critical to organize and preserve the digital assets that represent society's intellectual capital—the core seeds of knowledge that are the basis of future research and education",repository,data management,operational,,http://libraries.ucsd.edu/chronopolis/,,,,,,Chronopolis ,collaboration_tools_repository.png,http://libraries.ucsd.edu/chronopolis/
ci:00036,Dryad Digital Reposiotry,,"The Dryad Digital Repository is a curated resource that makes the data underlying scientific publications discoverable, freely reusable, and citable. Dryad provides a general-purpose home for a wide diversity of datatypes.
Dryad is governed by a nonprofit membership organization. Membership is open to any stakeholder organization, including but not limited to journals, scientific societies, publishers, research institutions, libraries, and funding organizations.
Publishers are encouraged to facilitate data archiving by coordinating the submission of manuscripts with submission of data to Dryad. Learn more here.
Dryad originated from an initiative among a group of leading journals and scientific societies in evolutionary biology and ecology to adopt a joint data archiving policy (JDAP) for their publications, and the recognition that easy-to-use, sustainable, community-governed data infrastructure was needed to support such a policy. See this page to learn more about JDAP.",repository,data management,,,http://datadryad.org/,,,,,,Dryad Digital Reposiotry,collaboration_tools_repository.png,http://datadryad.org/
ci:00037,GSA data repository,,Mine this for NSF-funded datasets,repository,data management,,,,,,,,,GSA data repository,collaboration_tools_repository.png,
ci:00038,SeaBASS,OceanColor Web,repository of in situ oceanographic data to support algorithm development and satellite data product validation activities.,repository,data management,operational,Goddard Space Flight Center,http://seabass.gsfc.nasa.gov/,,,,,,SeaBASS,collaboration_tools_repository.png,http://seabass.gsfc.nasa.gov/
ci:00039,server code repository,GEOSS,"a server code repository will be deployed and made available for the GCI components software GeoTasks… make more discoverable, accessible and usable the GEOSS components developed… contribute code references to BPW or a link from the BPW to code hosts (e.g., GitHub, SourceForge), creating the “GEOSS App Store”... ",repository,resource access,,GEOSS,,OGC AIP-7 Architecture report,,,,,server code repository,collaboration_tools_repository.png,
ci:00040,iRODS,World Wide Web (WWW),"Data management system, rule-based repository. iRODS, the Integrated Rule-Oriented Data System, is a data grid software system developed by the Data Intensive Cyber Environments research group (developers of the  SRB, the Storage Resource Broker), and collaborators. iRODS management policies (sets of assertions these communities make about their digital collections) are characterized in iRODS Rules and state information. At the iRODS core, a Rule Engine interprets the Rules to decide how the system is to respond to various requests and conditions. iRODS is open source under a BSD license. Distributed storage access layer and file system. Requires file or database based storage resources. ",server application,"data management, data access",,,,,,,,,iRODS,collaboration_tools_repository.png,
ci:00041,Academia.edu,World Wide Web (WWW),"Academia.edu is a platform for academics to share research papers. The company's mission is to accelerate the world's research.
Academics use Academia.edu to share their research, monitor deep analytics around the impact of their research, and track the research of academics they follow. 16,320,565 academics have signed up to Academia.edu, adding 4,794,681 papers and 1,403,621 research interests. Academia.edu attracts over 15.7 million unique visitors a month.",platform,community support,operational,Academia,"https://github.com/academia-edu, http://cantl.in/pub/academia_connect.htm","http://www.academia.edu/about,",HTTP API,,,,Academia.edu,Collection_catalog_portal_webpage.png,"https://github.com/academia-edu, http://cantl.in/pub/academia_connect.htm"
ci:00042,EarthData Code collaborative,EOSDIS,"a platform for development, testing, and discovery of Earthdata-related applications and services.",platform,software development,,NASA,https://ecc.earthdata.nasa.gov/,,,,,,EarthData Code collaborative,Collection_catalog_portal_webpage.png,https://ecc.earthdata.nasa.gov/
ci:00043,Compellent Storage Area Network,,,cloud platform,data storage,operational,Compellent,http://www.compellent.com,,,,,,Compellent Storage Area Network,community.png,http://www.compellent.com
ci:00044,Human-computer interface components,GEOSS,,component,community support,conceputal,GEOSS,OGC AIP-7 Architecture report,,,,,,Human-computer interface components,community.png,OGC AIP-7 Architecture report
ci:00045,HUBzero platform,Hubzero,"HUBzero ® is a powerful, open source software platform for creating dynamic web sites that support scientific research and educational activities. Purdue University.",cloud platform,community support,operational,,http://hubzero.org/,,web page,,,"hubZero (http://hubzero.org/), PHP, HTML, CSS, Javascript",HUBzero platform,community.png,http://hubzero.org/
ci:00046,Best practices WIKI,GEOSS,"tutorials are developed in private pages on the GEOSS BPW. Once ready to be published, a tutorial’s pages are made public, still residing on the BPW. Tutorials are also registered in the CSR as GEOSS documentation resources. Each tutorial has an introduction that explains the purpose and how to navigate it. All tutorials have a similar structure in order to maintain uniformity and consistency, and make it easier for the reader. A user can read a tutorial online in the BPW, save it as an HTML document, print it in real-time, or save it using a PDF printer tool. As the BPW is a wiki, comments can be posted to help edit and improve the tutorials. Comments are used by tutorial authors to edit the tutorial prior to the next release on the BPW.",web site,community support,operational,GEOSS,,"OGC AIP-7 Architecture report, Figure 7",,,,,Best practices WIKI,community.png,
ci:00047,hydroshare,UCHIC,"Hydroshare is an online collaboration environment for sharing data, models, and code.  Join the community to start sharing.",web site,community support,operational,CUAHSI,http://beta.hydroshare.org/,,,,,,hydroshare,community.png,http://beta.hydroshare.org/
ci:00048,Vhub portal,Vhub,"Vhub.org is a site for collaborative volcano research and risk mitigation. Use the menus above to browse available simulation tools, data resources and links to all things volcanic.",web site,community support,,,https://vhub.org/,,web page,,,hubZero (http://hubzero.org/),Vhub portal,community.png,https://vhub.org/
ci:00049,scientific networking and collaboration portal,iPlant,"provides researchers with a site to connect with other researchers and to facilitate new collaborations and wider communication... facilitate data assembly for phylogenetic trees... connecting members to each other, to groups with common interests, and to the content these groups co-create.",web site,user interface,,iPlant,,"Goff et al., 2011",human,,,my-Plant.org,scientific networking and collaboration portal,community.png,
ci:00050,EOSDIS User Registration System (URS),EOSDIS,The EOSDIS URS provides a centralized and simplified mechanism for user registration and profile management for all EOSDIS system components. End users may register and edit their profile information in one location allowing them access to the wide array of EOSDIS data and services. The EOSDIS URS also helps the EOSDIS program better understand the user demographics and access patterns in support of planning for new value-added features and customized services that can be directed to specific users or user groups resulting in better user experience.,web site,user management,operational,NASA GCMD,https://urs.earthdata.nasa.gov/,,,,,,EOSDIS User Registration System (URS),community.png,https://urs.earthdata.nasa.gov/
