ID#info,Resource name,CINERGI Resource Type,Classification (Theme),keywords_geographic,Resource description#info,Resource URL#info,Resource steward person#info,Resource steward organization,Resource POC e-mail#info,Resource POC voice phone#info,Link Label#info,Link function#info,#name,#img
SEN:0001,Geomorph-L listserv,Collaboration tools: e-mail list,Geomorphology,non-geographic,GEOMORPHLIST is a moderated electronic mail distribution list for geomorphologists and those working in related fields as a service of the International Association of Geomorphologists. It is used for professional communication on topics of interest to geomorphologists.,http://www.geomorph.org/pb/pblist.html,,,,,,,Geomorph-L listserv,collaboration_tools_email.png
SEN:0002,GilbertClub listserv,Collaboration tools: e-mail list,Geomorphology,non-geographic,"GilbertClub listserv is a moderated email list for announcements to the geomorphology community, including job and meeting announcements.",http://eps.berkeley.edu/gilbert/gilbert.htm,Bill Dietrich,"University of California, Berkeley",bill@eps.berkeley.edu,,,,GilbertClub listserv,collaboration_tools_email.png
SEN:0003,Sediment Experimentalists Network (SEN) listserv,Collaboration tools: e-mail list,Geomorphology,non-geographic,The Sediment Experimentalist Network discussion email list is for discussion of experimental procedures or data management.,http://mail.earthcube.org/mailman/listinfo/sedimentexp_earthcube.org,Leslie Hsu,"Lamont-Doherty Earth Observatory, Columbia University",lhsu@ldeo.columbia.edu,,,,Sediment Experimentalists Network (SEN) listserv,collaboration_tools_email.png
SEN:0004,NHDPlus (National Hydrography Dataset Plus),Application,Streamflow,non-geographic,"NHDPlus is a geo-spatial, hydrologic framework dataset envisioned by the US Environmental Protection Agency. NHDPlus is an integrated suite of application-ready geospatial data sets that incorporate many of the best features of the National Hydrography Dataset (NHD), the National Elevation Dataset (NED), the National Land Cover Dataset (NLCD), and the Watershed Boundary Dataset (WBD). NHDPlus has been used to enhance the EPA WATERS application. Info for National Elevation, Hydrography, Land use, and Watersheds.",http://www.horizon-systems.com/nhdplus/,,,,,,,NHDPlus (National Hydrography Dataset Plus),Dataset.png
SEN:0005,"UW Datasets (broken link, delete)",broken link,Multiple,non-geographic,"Multiple, but so mixed up …",http://www.lib.washington.edu/types/datasets/G.html,,,,,,,"UW Datasets (broken link, delete)",broken_link.png
SEN:0006,National Center for Earth-Surface Dynamics (NCED) Data Repository,Catalog,Geomorphology,non-geographic,"All data created or compiled by NCED-funded scientists is archived here. These include experimental and field datasets, and lidar maps.",https://repository.nced.umn.edu/,Efi Foufoula-Georgiou,University of Minnesota,,,,,National Center for Earth-Surface Dynamics (NCED) Data Repository,catalog.png
SEN:0007,"NCED Repository (Duplicate, delete)",Catalog,Geomorphology,non-geographic,National Center for Earth-surface Dynamics    Data Repository,https://repository.nced.umn.edu,,,,,,,"NCED Repository (Duplicate, delete)",collaboration_tools_email.png
SEN:0008,Critical Zone Observatory Data,Collection,Environment,non-geographic,"A primary CZO goal is to develop high-resolution 4D datasets that inform our theoretical framework, constrain our conceptual and coupled systems models, and test our model-generated hypotheses. CZO data is developing cross-CZO capabilities to easily share, integrate, analyze and preserve the wide range of multi-disciplinary data generated by CZOs.",https://criticalzone.org/national/data/,Anthony Aufdenkampe,Stroud Water Research Center,,,,,Critical Zone Observatory Data,Collection_catalog_portal_webpage.png
SEN:0009,Watershed Resource Inventory (EPA),Collection,Hydrology,non-geographic,"A collection of resources related to Watershed Central from the U.S. Environmental Protection Agency, including datasets and funding sources.",http://water.epa.gov/type/watersheds/datait/watershedcentral/inventory.cfm#Databases,,,,,,,Watershed Resource Inventory (EPA),Collection_catalog_portal_webpage.png
SEN:0010,Geographic Information Systems (GIS),Collection,Geospatial,non-geographic,"The US Army Corps of Engineers Geospatial Platform provides shared and trusted USACE geospatial data, services and applications for use by our partner agencies and the public.",http://geoplatform.usace.army.mil/home/,,,,,,,Geographic Information Systems (GIS),Collection_catalog_portal_webpage.png
