Author#hide,publication_date#info,ID#info,title#info,keywords_thematic#multi,Keyword: Geologic Time Tier 1#multi,Keyword: Geologic Time Tier 2#multi,Keyword: Discipline Tier 1#multi,Keyword: Discipline Tier 2 Human#multi,Keyword: Discipline Tier 2 Scraped#multi,resource_url#link,DataType,resource_type#multi,description#info,Services#multi,originator_contact_org_name#info,originator_contact_email#info,Comments#info,Software >Language#info,Software >Operating System#info,Software >Version#info,Software> Licence#info,REPOSITORIES#info,originator_contact_city#info,originator_contact_state#info,originator_contact_zip#info,Repository >Mailing_Address >Country#info,Repository >Physical_Address >Street#info,Repository >Physical_Address >City/Town#info,Repository >Physical_Address >State/Province#info,Repository >Physical_Address >Zip#info,Repository >Physical_Address >Country#info,Repository >Collection Type,Repository >Curator#info,Databases >Endpoint API#info,Databases >Last Update Date#info,Databases >Funding Organization#info,#name,#img,#href
Ryan,,c4p/nsf-gov/0001447,British Geological Survey  (Edinburgh Office),"map, climate, geology, models, climates, collections, change",,,Paleobiolology,,,http://www.bgs.ac.uk/collections/pal.html,,,"Repository of  the Scottish section of the UK National Collection, managed by the British Geological Survey. Includes rocks, minerals and fossils. (Borehole and marine material is held at Keyworth, Nottingham). To search the online catalogues visit http://www.bgs.ac.uk/data/NGR/collections.html?src=topNav .",,,,,,,,,"Murchison House, West Mains Road",Edinburgh,Scotland,EH9 3LA,UK,"Murchison House, West Mains Road",Edinburgh,Scotland,EH9 3LA,UK,"Scottish section of the UK National Collection, managed by the British Geological Survey. Includes rocks, minerals and fossils. (Borehole and marine material is held at Keyworth, Nottingham). Online catalogues, many high resolution images: http://www.bgs.ac.uk/data/NGR/collections.html?src=topNav ",Graham Tulloch gjt@bgs.ac.uk,,,,British Geological Survey  (Edinburgh Office),globe.jpg,http://www.bgs.ac.uk/collections/pal.html
Ryan,,c4p/nsf-gov/0001592,Carnegie Museum of Natural History (Mollusca),images,,,Museums/Centers ,"archaeology, icthyology, paleobotany, micro-paleobiology, paleontology, geosciences, geology ","Botany, Paleontology, taxonomy, Vertebrate, Invertebrate, Anthropology, environmental, Zoology, data",http://www.carnegiemnh.org/science/default.aspx?id=8919,,,"Repository of Mollusks. The repository contains over 130,000 specimens. The Mollusks collection at Carnegie Museum contains more terrestrial and freshwater mollusks from western Pennsylvania and adjacent states. The collection is especially strong in North American freshwater mussels (Unionoida), fingernail and pea clams (Sphaeriidae), terrestrial gastropods, and freshwater gastropods.",,,,,,,,,4400 Forbes Avenue,Pittsburgh,Pennsylvania,15213-4080,USA,4400 Forbes Avenue,Pittsburgh,PA,15213-4080,USA,Mollusca,"Timothy A. Pearce, pearcet@carnegiemnh.org",,,,Carnegie Museum of Natural History (Mollusca),globe.jpg,http://www.carnegiemnh.org/science/default.aspx?id=8919
Kaleb,,c4p/nsf-gov/0001116,CERA Database,,,,Climatology,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.microsofttranslator.com/bv.aspx?from=&to=en&a=http%3A%2F%2Fwww.dkrz.de%2Fdaten-en%2Fcera%2Fdata_base,-,database,A database of information from the CERA data model.,,,,,,,,,,,,,,,,,,,,,,,,CERA Database,database.jpg,http://www.microsofttranslator.com/bv.aspx?from=&to=en&a=http%3A%2F%2Fwww.dkrz.de%2Fdaten-en%2Fcera%2Fdata_base
Ryan,,c4p/nsf-gov/0001416,Paleontology Portal,"images, map, collections, maps",,,Paleobiolology,"paleontology, geology, organismal biology","paleontology, exploration, Resources, Paleontology",http://www.paleoportal.org,aggregator,database,"Database that retrieves paleotological data including fossils, flora and fauna, and different museum  collections for grades K-12.",paleontological specimen data aggregated from various museum databases,Lisa White/Judy Scotchmoor,,,,,,,,,,,,,,,,,,,,,,Paleontology Portal,database.jpg,http://www.paleoportal.org
Kaleb,,c4p/nsf-gov/0001093,UV-CDAT,,,,Climatology,"paleoclimatology, climatology, paleoenvironment, dendrochronology",,http://www2-pcmdi.llnl.gov/cdat,analysis,software,"An open-source software application project for analyzing, diagnosing, visualizing data for model-intercomparison projects' observation output, and very high-resolution climate-model simulations. It links together disparate software subsystems and packages, for integrated analysis and visualization.",,,,,,,,,,,,,,,,,,,,,,,,UV-CDAT,software_application.png,http://www2-pcmdi.llnl.gov/cdat
Kaleb,,c4p/nsf-gov/0001103,Climate  Explorer,,,,Climatology,"paleoclimatology, climatology, hydrology",,http://climexp.knmi.nl,analysis,software,"A software web application to statistically analyze climate data. It acts as a data repository, accepting data and software submissions.",KNMI Climate Explore  meteorological and 20th/21stcentury climate data,,,,,,,,,,,,,,,,,,,,,,,Climate  Explorer,software_application.png,http://climexp.knmi.nl
Kaleb,,c4p/nsf-gov/0001147,PyClimate,"Python, climate, analysis, coupled",,,Climatology,"Climatology, Paleoclimatology, Paleoenvironment","data, Data, analysis, Analysis",http://fisica.ehu.es/pyclimate,analysis,software,"A Python software package designed to accomplish some usual tasks needed during the analysis of climate variability. It provides functions to handle simple I/O operations, handling of COARDS-compliante netCDF files, EOF analysis, SVD and CCA analysis of coupled data sets, some linear digital filters, kernel based probability density function estimation and access to DCDFLIB.C library from Python ",,,,,python,,,,,,,,,,,,,,,,,,,PyClimate,software_application.png,http://fisica.ehu.es/pyclimate
Kaleb,,c4p/nsf-gov/0001249,SSA-MTM Toolkit,"graphical, well, climate, analysis, application, Unix, reconstructions, Linux, analyze, Mac",,,Geoinformatics,paleorecord ,"data, Energy, analysis, Environmental, Analysis, Data",http://www.atmos.ucla.edu/tcd/ssa,analysis,software,"A software program to analyze short, noisy time series, as well as multivariate data. Includes traditional Blackman-Tukey windowed correlogram, multi-taper method, and maximum-entropy method power-specturn estimation.",time series analysis,,,,,,,,,,,,,,,,,,,,,,,SSA-MTM Toolkit,software_application.png,http://www.atmos.ucla.edu/tcd/ssa
Kaleb,,c4p/nsf-gov/0001286,Climate Model Output Rewriter (CMOR),"Python, model, climate, analysis",,,Geoinformatics,"Climatology, Paleoclimatology, Paleoenvironment","analysis, metadata",http://kitt.llnl.gov/cmor/,analysis,software,"An analysis software of C-based functions, with bindings to both Python and FORTRAN 90, that can be used to produce CF-compliant netCDF files that fulfill the requirements of many of the climate community's standard model experiments. The output resulting from CMOR is ""self-describing"" and facilitates analysis of results across models.",,,,,"C, Python, Fortran-90",,,,,,,,,,,,,,,,,,,Climate Model Output Rewriter (CMOR),software_application.png,http://kitt.llnl.gov/cmor/
Kaleb,,c4p/nsf-gov/0001287,Ferret,"visualization, oceanographic, models, analysis, ocean, Windows, Unix, model, analyze",,,Geoinformatics,"Climatology, Paleoclimatology, Paleoenvironment","Visualization, visualization, data, analysis, Environmental, Analysis, Data",http://ferret.wrc.noaa.gov/Ferret/,analysis,software,"An interactive computer visualization and analysis software environment designed to analyze large and complex gridded data sets, and analyze the outputs of its numerical ocean models and compare them with gridded, observational data. It runs on most Unix systems, and on Windows XP/NT/9x using X windows for display. ",,,,,,"Unix, Windows XP/NT/9x",,,,,,,,,,,,,,,,,,Ferret,software_application.png,http://ferret.wrc.noaa.gov/Ferret/
