Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
Abstract Resource Description Vocabulary (aardv),,http://vocab.deri.ie/aardv,"Vocabulary of methods used in other vocabularies.

The 'Abstract Resource Description Vocabulary' (aardv) is the least common denominator for the discovery vocabularies XRD, POWDER, and voiD. (Source: DERI)",hli,vocabulary,information exchange,Unknown,Generic,Digital Enterprise Research Institute,,,"rdf/ttl, rdf/xml",,,,rdf,,,Abstract Resource Description Vocabulary (aardv),vocabulary.jpg,vocabulary
Academia.edu API,World Wide Web (WWW),http://cantl.in/pub/academia_connect.htm,The Academia.edu API will provide a means of delegation to Consumers. It is implemented as a script that responds to HTTP requests at a public URI: api.academia.edu. ,,API,,,,,,HTTP API,,,,,,,,Academia.edu API,webclient.jpg,API
Academic Seismic Portal (ASP) at LDEO,Marine Geoscience Data System,http://www.marine-geo.org/portals/seismic/,,hli,web site,data access,,Seismology,Integrated Earth Data Applications,,,,,,,,,,Academic Seismic Portal (ASP) at LDEO,globe.jpg,web site
Academic Seismic Portal (ASP) at UTIG,Marine Geoscience Data System,http://www.ig.utexas.edu/sdc/,,hli,web site,data access,,Seismology,Integrated Earth Data Applications,,,,,,,,,,Academic Seismic Portal (ASP) at UTIG,globe.jpg,web site
Access to Biological Collection Data (ABCD) - version 2.06,Taxonomic Database Working Group,"http://www.tdwg.org/standards/115/   | 
http://wiki.tdwg.org/ABCD/ ","The Access to Biological Collections Data (ABCD) Schema is an evolving comprehensive standard for the access to and exchange of data about specimens and observations (a.k.a. primary biodiversity data).
The ABCD Schema attempts to be comprehensive and highly structured, supporting data from a wide variety of databases. It is compatible with several existing data standards. Parallel structures exist so that either (or both) atomised data and free-text can be accommodated. Version 1.2 is currently in use with the GBIF (Global Biodiversity Information Facility) and BioCASE (Biological Collection Access Service for Europe) networks.
Apart from the GBIF and BioCASE networks, the potential for the application of ABCD extends to internal networks, or in-house legacy data access (e.g. datasets from external sources that shall not be converted and integrated into an institution's own data, but be kept separately, though easily accessible). By defining relations between terms, ABCD is a step towards an ontology for biological collections.",hli,specification,data access,Operational,Biology,Biodiversity Information Standards (TDWG),,,XML,,,,not explicit,XML schema,,Access to Biological Collection Data (ABCD) - version 2.06,globe.jpg,specification
"Access to Biological Collection Data, DNA extension (ABCDDNA) ",Taxonomic Database Working Group,http://www.tdwg.org/standards/640/,"Download page for ABCDDNA extensions. Clicking the download link prompts the download of a document detailing the ABCDDNA. ABCDDNA is an extension, built on the existing ABCD standards, that specifies metadata standards for DNA data. Note: Document is not at final version.

ABCDDNA is a theme specific extension for ABCD (Access to Biological Collections Data) created to facilitate storage and exchange of data related to DNA collection units, such as DNA extraction specifics, DNA quality parameters, and data characterising products of downstream applications, along with the relation to the analysed voucher specimen. ABCDDNA is an XML Schema extension to ABCD 2.06, which offers only a rudimentary set of DNA-specific data (Sequences). This document specifies the DNA extension for ABCD 2.06. (Source: TDWG)",hli,specification,data access,Operational,Biology,Biodiversity Information Standards (TDWG),,,XML,,,,not explicit,XML schema,,"Access to Biological Collection Data, DNA extension (ABCDDNA) ",globe.jpg,specification
Access to Biological Collection Databases Extended for Geosciences (ABCDEFG),Taxonomic Database Working Group,http://www.geocase.eu/efg,"ABCDEFG (Access to Biological Collection Databases Extended for Geosciences) is an XML-Schema (Extensible Markup Language) developed for use with palaeontological, mineralogical and geological digitalized collection data. It extends the ABCD-XML-Schema (Access to Biological Collection Databases) used by GBIF (Glocal Biodiversity Iformation Facility) (Source: Geocase)",hli,specification,data access,Conceptual,Data Systems,Biodiversity Information Standards (TDWG),,,XML,,,,,XML schema,,Access to Biological Collection Databases Extended for Geosciences (ABCDEFG),globe.jpg,specification
Acquisition scheduler,Ocean observatory initiative (OOI),http://oceanobservatories.org/,,cicomponentREview,component,scheduling,conceptual,,,,,,,,,,,,Acquisition scheduler,globe.jpg,component
Action plan generator,CINERGI,http://earthcube.org/group/cinergi, recommends components and workflows for fixing issues reported in validation process; like DPLA action plans,cicomponentREview,component,workflow management,planned,,,See OGC TEAM gitHub,,"JSON, XML?",,,,"interchange format for describing validation problems, e.g. EARL, TestNG",Java,,Action plan generator,globe.jpg,component
ActionVerb Schema ,Digital Enterprise Research Institute (DERI),http://vocab.deri.ie/av,"This is an rdf schema for defining an ActionVerb. It defines the concept ActionVerb as an rdfs:subClassOf skos:Concept. It defines for this concept three properties: (1) av:hasPart which is an rdf:Property (2) av:hasOptionalPart which is an rdf:Property, both of them are used to create meronymy relations between ActionVerbs and (3) av:hasLevel which is an owl:DatatypeProperty that indicates the level of the current action verb in the hierachy built using the two previous properties (Source: DERI)",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,"rdf/ttl, rdf/xml",,,,"foaf, rdf, vann, adms, dc, dcterms",RDF,,ActionVerb Schema ,vocabulary.jpg,vocabulary
