Type,Domain#multi,Coupled Modeling System Family,Long Name#info,Short Name#info,Lead Author Institution#info,Wrapper Author Institution#info,Infrastructure Use#info,Superstructure Use#info,Code and ESMF Version,ESMF Conventions,General Reference#link,#name,#img,#href
User,Land and Surface,0 - N/A,Land Information System,LIS,NASA Hydrological Sciences Branch,NASA Hydrological Sciences Branch,"Uses ESMF States for field storage, and other infrastructure required by the component interface.",Has ESMF interfaces but not fully registered as a component (no set services).,ESMF 3.1.0rp3 in LIS 6.1,None,http://lis.gsfc.nasa.gov/,LIS,globe.jpg,http://lis.gsfc.nasa.gov/
User,Space Weather Modeling,0 - N/A,Thermosphere - Ionosphere Mesosphere Electrodynamics General Circulation Model (TIMEGCM),TIMEGCM,NCAR High Altitude Observatory,N/A,Uses ESMF integrated (during-run) regridding within the model.,None,ESMF 5.2.0r,None,http://www.hao.ucar.edu/modeling/tgcm/time.php,TIMEGCM,globe.jpg,http://www.hao.ucar.edu/modeling/tgcm/time.php
Component,Ocean,0 - N/A,MIT general circulation model,MITgcm,M.I.T.,M.I.T.,Uses ESMF States for field storage. Use ESMF_VM to manage distribution of components over allocated resources.,Uses component interfaces. Uses ESMF_StateReconcile to do data redistribution between an N-way distributed component and a set of P M-way distributed components.  ,ESMF 3.1.0rp5,Somewhat MAPL-like,http://mitgcm.org,MITgcm,globe.jpg,http://mitgcm.org
Component,"Coastal, Hydrological",ADCIRC - pWASH123,parallel WAterSHed model,pWASH123,Army ERDC,"Naval Research Laboratory, Army ERDC",Only in component interfaces.,Runs as an ESMF component (uses C interface).,ESMF 3.1.0rp2,None,http://www.cesm.ucar.edu/models/cesm1.0/clm/index.shtml,pWASH123,globe.jpg,http://www.cesm.ucar.edu/models/cesm1.0/clm/index.shtml
Component,Coastal,ADCIRC - pWASH123,ADvanced CIRCulation Model,ADCIRC,"Naval Research Laboratory, University","Naval Research Laboratory, Army ERDC",Only in component interfaces.,Runs as an ESMF component.,ESMF 3.1.0rp2,None,,ADCIRC,globe.jpg,
Coupled Modeling System,"Marine Modeling, Hydrological Modeling",ADCIRC - pWASH123 parent,ADvanced CIRCulation Model-parallel WAterSHed model,ADCIRC - pWASH123,"Naval Research Laboratory, University, Army ERDC","Naval Research Laboratory, University, Army ERDC",Only in component interfaces.,"Runs as an ESMF coupled system, but native infrastructure (DBuilder) is used for interpolation.",ESMF 3.1.0rp2,None,,ADCIRC - pWASH123,globe.jpg,
Component,Atmosphere,CESM,Community Atmosphere Model,CAM,NCAR/DOE,NCAR/NOAA,The ESMF Time Manager is used in CAM for its Gregorian calendar. ESMF Attributes are being explored.,"Runs as an ESMF component, for active, data, and dead versions.",ESMF 5.2.0p1 in CESM 1.0.3,Uses ESMF Array representation,,CAM,globe.jpg,
Component,Land and Surface,CESM,Community Land Model 4,CLM 4,NCAR/DOE,NCAR/NOAA,Only in component interfaces.,"Runs as an ESMF component, for active, data, and dead versions.",ESMF 5.2.0p1 in CESM 1.0.3,Uses ESMF Array representation,http://www.cesm.ucar.edu/models/cesm1.0/clm/index.shtml,CLM 4,globe.jpg,http://www.cesm.ucar.edu/models/cesm1.0/clm/index.shtml
Component,Ocean ,CESM,Parallel Ocean Program Model,POP,DOE/NCAR,NCAR/NOAA,Only in component interfaces.,"Runs as an ESMF component, for active, data, and dead versions.",ESMF 5.2.0p1 in CESM 1.0.3,Uses ESMF Array representation,,POP,globe.jpg,
Component,Sea Ice,CESM,CICE Sea Ice model ,CICE,DOE/NCAR,NCAR/NOAA,Only in component interfaces.,"Runs as an ESMF component, for active, data, and dead versions.",ESMF 5.2.0p1 in CESM 1.0.3,Uses ESMF Array representation,,CICE,globe.jpg,
Coupled Modeling System,Climate Modeling,CESM parent,Community Earth System Model,CESM,NCAR/DOE,NCAR/NOAA,ESMF offline interpolation weight generation is used routinely and extensively for regridding. The ESMF Time Manager is used in CAM for its Gregorian calendar. ESMF Attributes are used for coupling and are being explored for documentation.,"All components except land ice have ESMF interfaces, for dead, data, and active versions. Component interfaces are routinely tested and officially supported but are off by default.",ESMF 5.2.0p1 in CESM 1.0.3,Uses ESMF Array representation,http://www.cesm.ucar.edu/models/,CESM,globe.jpg,http://www.cesm.ucar.edu/models/
Component,Atmosphere,COAMPS,Coupled Ocean- Atmosphere Mesoscale Prediction System atmosphere,COAMPS atmosphere,DoD Naval Research Laboratory - Stennis,DoD Naval Research Laboratory - Stennis,Only in component interfaces.,Runs as an ESMF component.,"ESMF 4.0.0rp2 in version used for research, ESMF 5.2.0r in development version.",NUOPC Layer in development version,,COAMPS atmosphere,globe.jpg,
Component,Ocean,COAMPS,Navy Coastal Ocean Model,NCOM,DoD Naval Research Laboratory - Stennis,DoD Naval Research Laboratory - Stennis,Only in component interfaces.,Runs as an ESMF component.,"ESMF 4.0.0rp2 in version used for research, ESMF 5.2.0r in development version.",NUOPC Layer in development version,,NCOM,globe.jpg,
Component,Wave,COAMPS,Simulating WAves Nearshore (SWAN),SWAN,Delft University of Technology,DoD Naval Research Laboratory - Stennis,Only in component interfaces.,Runs as an ESMF component.,"ESMF 4.0.0rp2 in version used for research, ESMF 5.2.0r in development version",NUOPC Layer in development version,,SWAN,globe.jpg,
Component,Wave,COAMPS,WaveWatch III,WaveWatch III,NOAA Environmental Modeling Center,DoD Naval Research Laboratory - Stennis,"Config, DistGrid, Log.",Prototype runs as an ESMF component.,ESMF 4.0.0rp2 in version used for research.,NUOPC Layer in development version,,WaveWatch III,globe.jpg,
Coupled Modeling System,Weather Prediction,COAMPS parent,Coupled Ocean-Atmosphere Mesoscale Prediction System,COAMPS,DoD Naval Research Laboratory - Stennis,DoD Naval Research Laboratory - Stennis,Only in component interfaces.,Runs as an ESMF coupled system in several coupled atmosphere - ocean - wave configurations.,"ESMF 4.0.0rp2 in version used for research, ESMF 5.2.0r in development version",NUOPC Layer in development version,http://www.nrlmry.navy.mil/coamps-web/web/home,COAMPS,globe.jpg,http://www.nrlmry.navy.mil/coamps-web/web/home
Component,Solar Wind,eSWMS,Hakamada-Akasofu-Fry (HAF) kinematic solar wind model,HAF,"Exploration Physics International, Inc.",Space Environment Corporation,Only in component interfaces.,Runs as an ESMF component.,4.0.0rp2 in 2011 version delivered to Air Force Weather Agency,None,http://www.expi.net/kinematic.html,HAF,globe.jpg,http://www.expi.net/kinematic.html
Component,Ionosphere,eSWMS,Ionospheric Forecast Model,IFM,Space Environment Corporation,Space Environment Corporation,Only in component interfaces.,Runs as an ESMF component.,4.0.0rp2 in 2011 version delivered to Air Force Weather Agency,None,http://www.spacenv.com/,IFM,globe.jpg,http://www.spacenv.com/
Coupled Modeling System,Space Weather Modeling,eSWMS parent,ensemble Space Weather Modeling System,eSWMS,"Exploration Physics International, Inc., Space Environment Corporation",Space Environment Corporation,Only in component interfaces.,Runsa as an ESMF coupled system.,4.0.0rp2 in 2011 version delivered to Air Force Weather Agency,None,http://adsabs.harvard.edu/abs/2010AGUFMSM51A1755F,eSWMS,globe.jpg,http://adsabs.harvard.edu/abs/2010AGUFMSM51A1755F
Component,Atmospheric Chemistry,GEOS,GEOS aerosols chemistry,Aerosols chemistry,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,Aerosols chemistry,globe.jpg,
Component,Atmospheric Chemistry,GEOS,GEOS atmospheric chemistry package,GEOS atmospheric chemistry package,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS atmospheric chemistry package,globe.jpg,
Component,Atmospheric Chemistry,GEOS,GEOS parameterized chemistry,GEOS parameterized chemistry ,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS parameterized chemistry ,globe.jpg,
Component,Atmospheric Chemistry,GEOS,GEOS stratospheric chemistry,GEOS stratospheric chemistry,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS stratospheric chemistry,globe.jpg,
Component,Atmospheric Chemistry,GEOS,GEOS-Chemistry ,GEOS-Chem,Harvard University,NASA Global Modeling and Assimilation Office,Only in component interfaces.,Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS-Chem,globe.jpg,
Component,Atmospheric Chemistry,GEOS,Goddard Chemistry Aerosol Radiation and Transport Model,GOCART,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GOCART,globe.jpg,
Component,Atmospheric Dynamics,GEOS,GEOS B-Grid plus quadratic upstream scheme dynamical core,GEOS B-Grid,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS B-Grid,globe.jpg,
Component,Atmospheric Dynamics,GEOS,GEOS finite volume dynamical core,GEOS FV core,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS FV core,globe.jpg,
Component,Atmospheric Dynamics,GEOS,GEOS finite volume cubed sphere dynamical core,GEOS FV cubed sphere core,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS FV cubed sphere core,globe.jpg,
Component,Atmospheric Dynamics,GEOS,GEOS gravity wave drag,GEOS gravity wave drag,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS gravity wave drag,globe.jpg,
Component,Atmospheric Dynamics,GEOS,GEOS topology,GEOS topology,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS topology,globe.jpg,
Component,Atmospheric Physics,GEOS,GEOS atmospheric physics,GEOS atmospheric physics,NASA Global Modeling and Assimilation Office,NASA Global Modeling and Assimilation Office,"Time Manager, Config, Log.",Runs as an ESMF component with physics paramenterization subcomponents.,ESMF 4.0.0rp1 in GEOS-5 version 5.72,MAP Layer,,GEOS atmospheric physics,globe.jpg,
