Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
Abstract Resource Description Vocabulary (aardv),,http://vocab.deri.ie/aardv,"Vocabulary of methods used in other vocabularies. The 'Abstract Resource Description Vocabulary' (aardv) is the least common denominator for the discovery vocabularies XRD, POWDER, and voiD. (Source: DERI)",High level inventory Pivot Viewer,Vocabulary,information exchange,Unknown,Generic,Digital Enterprise Research Institute,,,"rdf/ttl, rdf/xml",,,,rdf,,,Abstract Resource Description Vocabulary (aardv),vocabulary.jpg,http://vocab.deri.ie/aardv
Academia.edu API,World Wide Web (WWW),http://cantl.in/pub/academia_connect.htm,The Academia.edu API will provide a means of delegation to Consumers. It is implemented as a script that responds to HTTP requests at a public URI: api.academia.edu.,NotDocumented,API,,,,,,HTTP API,,,,,,,,Academia.edu API,webclient.jpg,http://cantl.in/pub/academia_connect.htm
Academic Seismic Portal (ASP) at LDEO,Marine Geoscience Data System,http://www.marine-geo.org/portals/seismic/,"The Academic Seismic Portal (ASP) is sponsored by the National Science Foundation to organize active source seismic field data into a modern relational data management system accessible through the Internet. The system is designed principally for academic scientific use. The Academic Seismic Portal at Lamont-Doherty is also an official branch of the Antarctic Seismic Data Library System
 (SDLS), working under the auspices of the Scientific Committee on 
Antarctic Research (SCAR) and the Antarctic Treaty (ATCM XVI-12) to 
provide open access to all multichannel seismic reflection data 
collected south of 60� S for study of the structure of the earth's 
crust.  SDLS libraries maintain DVD copies of and provide access to 
processed seismic data, including that not yet publicly available from 
the main SDLS web portal .
  The libraries also enhance collaboration among originators of data and
 potential users. In addition to the library function, the Academic 
Seismic Portal offers an ever-increasing number of seismic lines for 
viewing in GeoMapApp. (http://www.marine-geo.org/portals/seismic/)
                                ",High level inventory Pivot Viewer,Web site,Data access,,Seismology,Integrated Earth Data Applications,,,,,,,,,,Academic Seismic Portal (ASP) at LDEO,globe.jpg,http://www.marine-geo.org/portals/seismic/
Academic Seismic Portal (ASP) at UTIG,Marine Geoscience Data System,http://www.ig.utexas.edu/sdc/,"The purpose of this NSF-sponsored project is to organize seismic reflection/refraction data into a modern relational database management system accessible through the Internet. The system is designed principally for academic scientific use. Users include scientists, research staff and students from around the world that have high bandwidth Internet access. The web site provides access to metadata, SEG-Y files, navigation files, seismic profile images, processing histories and more. The main features of the web site include a geographic search engine using Google Plugins, a metadata search engine, and metadata pages for the various seismic programs. Metadata are uploaded into mySQL, a public-domain SQL server, and then PHP scripts query the metadata and directories, creating web pages, displaying images, and providing ftp links. (http://www.ig.utexas.edu/sdc/about/purpose.php)",High level inventory Pivot Viewer,Web site,Data access,,Seismology,Integrated Earth Data Applications,,,,,,,,,,Academic Seismic Portal (ASP) at UTIG,globe.jpg,http://www.ig.utexas.edu/sdc/
Access to Biological Collection Data (ABCD) - version 2.06,Taxonomic Database Working Group,"http://www.tdwg.org/standards/115/   | 
http://wiki.tdwg.org/ABCD/ ","The Access to Biological Collections Data (ABCD) Schema is an evolving comprehensive standard for the access to and exchange of data about specimens and observations (a.k.a. primary biodiversity data). The ABCD Schema attempts to be comprehensive and highly structured, supporting data from a wide variety of databases. It is compatible with several existing data standards. Parallel structures exist so that either (or both) atomised data and free-text can be accommodated. Version 1.2 is currently in use with the GBIF (Global Biodiversity Information Facility) and BioCASE (Biological Collection Access Service for Europe) networks. Apart from the GBIF and BioCASE networks, the potential for the application of ABCD extends to internal networks, or in-house legacy data access (e.g. datasets from external sources that shall not be converted and integrated into an institution's own data, but be kept separately, though easily accessible). By defining relations between terms, ABCD is a step towards an ontology for biological collections.",High level inventory Pivot Viewer,Specification,Data access,Operational,Biology,Biodiversity Information Standards (TDWG),,,XML,,,,not explicit,XML schema,,Access to Biological Collection Data (ABCD) - version 2.06,globe.jpg,"http://www.tdwg.org/standards/115/   | 
http://wiki.tdwg.org/ABCD/ "
"Access to Biological Collection Data, DNA extension (ABCDDNA)",Taxonomic Database Working Group,http://www.tdwg.org/standards/640/,"Download page for ABCDDNA extensions. Clicking the download link prompts the download of a document detailing the ABCDDNA. ABCDDNA is an extension, built on the existing ABCD standards, that specifies metadata standards for DNA data. Note: Document is not at final version. ABCDDNA is a theme specific extension for ABCD (Access to Biological Collections Data) created to facilitate storage and exchange of data related to DNA collection units, such as DNA extraction specifics, DNA quality parameters, and data characterising products of downstream applications, along with the relation to the analysed voucher specimen. ABCDDNA is an XML Schema extension to ABCD 2.06, which offers only a rudimentary set of DNA-specific data (Sequences). This document specifies the DNA extension for ABCD 2.06. (Source: TDWG)",High level inventory Pivot Viewer,Specification,Data access,Operational,Biology,Biodiversity Information Standards (TDWG),,,XML,,,,not explicit,XML schema,,"Access to Biological Collection Data, DNA extension (ABCDDNA) ",globe.jpg,http://www.tdwg.org/standards/640/
Access to Biological Collection Databases Extended for Geosciences (ABCDEFG),Taxonomic Database Working Group,http://www.geocase.eu/efg,"ABCDEFG (Access to Biological Collection Databases Extended for Geosciences) is an XML-Schema (Extensible Markup Language) developed for use with palaeontological, mineralogical and geological digitalized collection data. It extends the ABCD-XML-Schema (Access to Biological Collection Databases) used by GBIF (Glocal Biodiversity Iformation Facility) (Source: Geocase)",High level inventory Pivot Viewer,Specification,Data access,Conceptual,Data Systems,Biodiversity Information Standards (TDWG),,,XML,,,,,XML schema,,Access to Biological Collection Databases Extended for Geosciences (ABCDEFG),globe.jpg,http://www.geocase.eu/efg
Acquisition scheduler,Ocean observatory initiative (OOI),http://oceanobservatories.org/,"The Ocean Observatories Initiative (OOI) will construct a networked infrastructure of science-driven sensor systems to measure the physical, chemical, geological and biological variables in the ocean and seafloor. Greater knowledge of these variables is vital for improved detection and forecasting of environmental changes and their effects on biodiversity, coastal ecosystems and climate. The OOI, a project funded by the National Science Foundation,
 is planned as a networked infrastructure of science-driven sensor 
systems to measure the physical, chemical, geological and biological 
variables in the ocean and seafloor. The OOI will be one fully 
integrated system collecting data on coastal, regional and global 
scales. The OOI Program is managed and coordinated by the OOI Project 
Office at the Consortium for Ocean Leadership,
 in Washington, D.C., and is responsible for construction and initial 
operations of the OOI network. �Three major Implementing Organizations 
are responsible for construction and development of the overall program.
 Woods Hole Oceanographic Institution and its partners, Oregon State University and Scripps Institution of Oceanography are responsible for the coastal and global moorings and their autonomous vehicles. The University of Washington is responsible for cabled seafloor systems and moorings. The University of California, San Diego, is implementing the cyberinfrastructure component. Rutgers, The State University of New Jersey, with its partners University of Maine and Raytheon Mission Operations and Services, is responsible for the education and public engagement software infrastructure. (http://oceanobservatories.org/about/)",Original CIComponent Compilation,Component,scheduling,Conceptual,,,,,,,,,,,,Acquisition scheduler,globe.jpg,http://oceanobservatories.org/
Action plan generator,CINERGI,http://earthcube.org/group/cinergi,recommends components and workflows for fixing issues reported in validation process; like DPLA action plans,Original CIComponent Compilation,Component,workflow management,Planned,,,See OGC TEAM gitHub,,"JSON, XML?",,,,"interchange format for describing validation problems, e.g. EARL, TestNG",Java,,Action plan generator,globe.jpg,http://earthcube.org/group/cinergi
ActionVerb Schema,Digital Enterprise Research Institute (DERI),http://vocab.deri.ie/av,"This is an rdf schema for defining an ActionVerb. It defines the concept ActionVerb as an rdfs:subClassOf skos:Concept. It defines for this concept three properties: (1) av:hasPart which is an rdf:Property (2) av:hasOptionalPart which is an rdf:Property, both of them are used to create meronymy relations between ActionVerbs and (3) av:hasLevel which is an owl:DatatypeProperty that indicates the level of the current action verb in the hierachy built using the two previous properties (Source: DERI)",NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,"rdf/ttl, rdf/xml",,,,"foaf, rdf, vann, adms, dc, dcterms",RDF,,ActionVerb Schema ,vocabulary.jpg,http://vocab.deri.ie/av
